Abbrev,Score,Term,Estimate,Lower,Upper,Raters,Error
SocialNetwork,Rating,"ICC(C,1)",0.13977363644799182,0.12123333825806692,0.16518625537847115,1,Relative
SocialNetwork,Rating,"ICC(C,k)",0.9229685223656343,0.9096736874313154,0.9352526818311332,73,Relative
