Abbrev,Score,Term,Estimate,Lower,Upper,Raters,Error
CatchMe,Rating,"ICC(C,1)",0.4076664377959166,0.3677201664938331,0.453345380420422,1,Relative
CatchMe,Rating,"ICC(C,k)",0.982068919395075,0.9786983306851087,0.9849658830465091,79,Relative
